#Members	Type	WN30Synset	Definition	Members
 501	person_n1	100007846	a human being; "there was too much for one person to do"	member | person | husband | son | breeder | brother | speaker | offspring | child | dad | doctor | researcher | leader | kid | detective | scientist | individual | groom | biologist | server | trainer | host | representative | author | reader | teacher | guest | shrew | woman | mother | someone | farmer | stepmother | player | gardener | planter | father | patient | student | editor | passenger | astronaut | adult | merchant | judge | traveler | engineer | veteran | entrepreneur | barber | survivor | master | loon | electrician | cyclist | writer | gymnast | homeowner | athlete | user | owner | man | partner | officer | sister | employee | pest | boy | grandparent | bride | keeper | inspector | postman | islander | infant | customer | musician | hunter | parent | visitor | specialist | hostage | ostrich | migrant | girl | pharmacist | grandmother | participant | baby | human | guide | cousin | neighbor | attacker | vet | friend | dweller | astronomer | niece | killer | artist | reporter | photographer | victim | diver | assistant | wife | secretary | observer | worker | explorer | optician | omnivore | actor | governor | manager | weatherman | chemist | consultant | guy | soldier | dentist | nurse | witness | fellow | poacher | workman | relative | physician | mom | winner | horseman | taster | paleontologist | barker | coach | villager | camper | designer | piranha | fisher | pilot | technician | midwife | daughter | gamekeeper | counselor | official | fisherman | director | granny | butler | acrobat | packer | potter | ancestor | millionaire | spy | lord | carrier | geologist | courier | boyfriend | servant | prince | bystander | transmitter | miner | chamberlain | eater | miller | tester | weightlifter | instructor | bully | warden | politician | trailer | chandler | intruder | grandchild | blacksmith | homo | president | journalist | meteorologist | spinner | casualty | lady | opponent | expert | waiter | deputy | administrator | historian | settler | naturalist | superman | grandpa | counterfeiter | fighter | fastener | warrior | maid | counsel | economist | rescuer | auctioneer | painter | descendant | pioneer | professor | citizen | joker | founder | graduate | belle | rider | ornithologist | harvester | sheriff | backwoodsman | twin | uncle | gentleman | supplier | swimmer | developer | lifeguard | hero | educator | murderer | prisoner | chief | herpetologist | godparent | companion | sailor | pupil | daddy | candidate | trooper | aunt | washer | kidnapper | philosopher | orphan | teller | bobby | trapper | hiker | boss | weaver | businessman | dictator | boatman | spaceman | entomologist | singer | minister | attendant | king | guard | granddaughter | chap | invader | defender | mechanic | rocker | messenger | digger | forecaster | skier | smoker | sweeper | chancellor | steward | boxer | ref | huntsman | mason | slave | somebody | classmate | teenager | jeweler | fool | witch | chef | inventor | botanist | inhabitant | serviceman | papa | captain | diner | ogre | friar | spectator | hanger | nan | geneticist | thinker | contractor | chum | carter | sawyer | temp | magician | shooter | carpenter | surveyor | caretaker | smith | vegetarian | waitress | liar | contributor | champion | elder | mover | princess | newcomer | occupant | trader | monk | bridesmaid | monarch | guardian | toddler | cop | builder | baker | jockey | sultan | burgess | champ | organizer | dancer | promoter | virago | dwarf | mummy | nibbler | principal | neighbour | grandfather | librarian | policewoman | coward | alien | bloke | robber | collector | grandson | catcher | knight | runner | pitcher | trumpeter | mama | mathematician | narrator | ecologist | sibling | patrolman | poet | plumber | captive | pirate | grandma | duke | sergeant | mayor | actress | stepfather | suppressor | widow | wearer | freeman | shepherd | policeman | thief | piper | auntie | beggar | hairdresser | archer | raider | nonsmoker | kin | traveller | helper | archaeologist | sophisticate | bowler | senator | nun | criminal | hitchhiker | heir | duchess | gatherer | maker | tourist | constable | supervisor | referee | milkman | wizard | generalist | performer | hermit | receptionist | listener | pal | rotter | bridegroom | grader | grandad | commissioner | stowaway | ward | nobody | greengrocer | learner | footballer | embodiment | bowman | albino | bushman | pygmy | superstar | mace | demoiselle | quack | plunger | burglar | regent | villain | woodcutter | courtier | commuter | recipient | surfer | rascal | mimic | ethologist | bricklayer | admiral | vagrant | idiot | newsagent | amateur | conveyor | dustman | scallywag | yogi | shopkeeper | janitor | jailer | grocer | culprit | macaroni | caster | headmistress | seer | khan | clown | cox | minstrel | lad | saver | genius | gondolier | doc | drummer | vermin | baron | pianist | trawler | shopper | dearie | signatory | automaton | virgin | imposter | conveyer | stepson | guzzler | cowboy | goalie | invalid | fireman | rounder | crook | buff | nigra | smasher | entertainer | ma
 443	artifact_n1	100021939	a man-made object taken as a whole	board | cup | surface | case | diagram | structure | table | picture | office | room | image | sofa | vessel | capillary | shelter | cone | radio | bed | roof | compartment | channel | cylinder | fabric | lumber | basement | platform | stripe | wire | book | pot | plate | bag | tube | dish | insulation | jar | jug | envelope | nursery | wallet | composition | photo | furnace | map | tower | manual | copy | attic | cord | sail | pouch | silk | stool | window | sett | door | toy | magazine | pocket | frame | slit | membrane | cannon | box | sleeve | tire | rope | art | publication | pack | facility | article | collar | base | launcher | booklet | shaft | band | gate | station | library | prong | layer | apartment | bath | swab | towel | bucket | floor | wall | call | raft | textbook | concrete | jewel | jewellery | quill | trail | fence | refrigerator | closet | cage | mat | bottle | pathway | prison | barrier | string | balloon | oar | sketch | crayon | refinery | sheath | capsule | chamber | curtain | pipe | mosaic | umbrella | chair | vase | cargo | block | classroom | entrance | photograph | mine | kettle | wheelchair | album | hinge | aquarium | pool | foil | icon | shoe | container | coffin | pan | pillow | museum | china | kitchen | handkerchief | outlet | screen | deck | rail | cabinet | shack | bedroom | furniture | basin | artifact | speck | gym | cloaca | commodity | sphere | marker | bench | carpet | carton | ladder | timber | desk | cane | flap | road | grid | freezer | mulch | velvet | hull | flag | zoo | portrait | shower | lever | mall | brick | beaker | boiler | innovation | accelerator | dam | hose | socket | slab | tunnel | booth | silverware | lotion | armor | wool | bar | newspaper | passageway | entry | bowl | cloth | locker | ammunition | oven | basket | teacup | duplication | pen | pole | grill | seesaw | catalog | coaster | helmet | trinket | tattoo | tray | rein | cushion | television | sewer | utensil | output | scoop | tab | crate | factory | cloak | windshield | catheter | throne | horseshoe | ornament | shield | spoon | pane | bunk | tent | canvas | ruby | muzzle | hallway | roadside | goods | thread | hedgerow | coating | rosette | glaze | cellar | tile | john | gallery | perfume | scaffold | hut | supermarket | street | bin | spatula | painting | maze | cabin | quilt | driveway | flask | rack | dictionary | camp | parcel | drawer | showroom | earring | blanket | skirt | stove | counter | tread | frill | can | pavement | staircase | dryer | perforation | rag | stopper | load | resonator | trellis | primer | monument | dance | fiberglass | cookbook | toilet | diamond | turret | notebook | hoop | strap | conduit | hedge | hall | hutch | runway | meringue | schematic | fridge | pantry | spire | pencil | shingle | backpack | mast | terrace | overload | fork | weir | doll | cooker | jail | decoration | hopper | plaque | visor | chalk | flowerpot | porcelain | trench | nozzle | garter | streak | alley | baggage | lane | bathroom | rucksack | honeycomb | slipper | ditch | pearl | trigger | stall | bazaar | pedal | streamer | pier | boot | glossary | gutter | sunscreen | kiln | mixer | banner | duplicate | mural | wick | playroom | toothbrush | walker | cuff | bead | overhang | clipboard | fixture | floorboard | puppet | bandage | vocabulary | glassware | garland | bracelet | teapot | stretcher | chimney | tyre | tub | slot | airport | moat | footpath | cot | purse | birdbath | mattress | jewelry | toaster | snowball | blender | pylon | highway | globe | eyespot | sling | axle | scarecrow | cab | roadway | wand | handbag | saucepan | freckle | cellophane | ceiling | causeway | sandal | bale | doorway | cupboard | fountain | broom | wildcat | emblem | moccasin | almanac | sidewalk | plank | loft | necklace | encyclopedia | fireplace | countertop | rug | guidebook | wreath | dishwasher | luggage | dice | asphalt | napkin | barrow | plaything | hammock | suitcase | windowpane | grate | hem | teddy | drainpipe | dipper | lipstick | anthology
 375	animal_n1	100015388	a living organism characterized by voluntary movement	hookworm | kitten | squid | toad | animal | earthworm | goat | tortoise | squirrel | rabbit | gemsbok | mammal | jellyfish | pony | dog | hamster | reindeer | creature | worm | turtle | nutria | livestock | numbat | guenon | mite | cattle | lion | rat | bear | lizard | horse | stoat | urchin | rodent | whale | crocodile | wildebeest | jackal | bat | porcupine | amphibian | larva | howler | slug | deer | aardvark | spider | crab | tarantula | caribou | clam | badger | snail | prey | mouse | predator | primate | cuttlefish | banteng | cow | bulldog | ocelot | monkey | tiger | guanaco | woodchuck | python | wolf | kiang | gorilla | reptile | fawn | possum | camel | zooplankton | paca | fox | rattlesnake | viper | carabao | snake | lobster | cat | pet | rhino | terrapin | bobcat | gopher | capybara | mink | dolphin | alligator | starfish | gecko | elk | beaver | dugong | carnivore | cougar | krill | tamarin | rhinoceros | frog | chevrotain | pup | bivalve | feeder | dinosaur | coyote | raccoon | tadpole | weasel | binturong | eland | bison | mandrill | jaguar | manatee | echinoderm | gazelle | zebra | panther | pika | hyrax | giraffe | chameleon | bunny | caterpillar | sheep | hydra | nematode | viscacha | herbivore | lemur | beagle | hare | bull | bandicoot | colobus | cheetah | vertebrate | pig | foxhound | salamander | tarsier | babirusa | wombat | armadillo | kob | calf | centipede | hippopotamus | oyster | tenrec | pademelon | elephant | sloth | koala | scorpion | llama | arthropod | muntjac | skunk | platypus | vole | meerkat | hog | millipede | iguana | hedgehog | cottontail | hippo | tuatara | marmot | walrus | puppy | kangaroo | chimp | porpoise | tunicate | chipmunk | mealworm | baboon | gnu | pangolin | kitty | hound | antelope | poodle | hartebeest | moose | mollusk | marmoset | opossum | polecat | lynx | hyena | ox | buffalo | fetus | dhole | wallaby | barnacle | langur | orangutan | markhor | rotifer | bilby | jerboa | hagfish | chimpanzee | capuchin | scavenger | polychaete | leech | beast | boar | steenbok | ibex | gerbil | anteater | mule | panda | lamprey | wolverine | pinworm | marten | brocket | echidna | hatchling | jackrabbit | mastodon | okapi | oryx | macaque | whiptail | yak | mollusc | peccary | skink | mongoose | critter | constrictor | orca | deinonychus | tapir | hellbender | bonobo | chinchilla | talapoin | dormouse | newt | gaur | sauropod | tapeworm | boa | pipistrelle | potoroo | rhesus | dingo | steed | insectivore | cobra | ferret | tetrapod | dimetrodon | cavy | ungulate | kinkajou | caracal | ermine | argali | mangabey | woodlouse | adder | bullfrog | sambar | ectotherm | dassie | anole | narwhal | waterbuck | bushbuck | buck | springbok | lamb | mara | galago | gastropod | ape | stock | bushbaby | mate | lemming | civet | flatworm | lancelet | goral | piglet | tayra | serval | pelycosaur | leatherback | colugo | aardwolf | potto | bighorn | blastocyst | anoa | lioness | addax | decapod | gibbon | doggy | genet | tamandua | synapsid | cottonmouth | fanaloka | pronghorn | ringtail | serpent | medusa | crocodilian | diamondback | caiman | theropod | blackbuck | therapsid | tyrannosaurus | ass | agouti | ridley | monotreme | uakari | grison | cuscus | aoudad | hawksbill | lechwe | cnidarian | margay | serotine | staurikosaurus | takin | sika | impala | gerenuk | cynodont | bullock | dobson | guereza | pachyderm | bettong | coati | bowhead | edaphosaurus | stud | saiga | trilobite | tom | ornithischian | planula | angleworm | angwantibo | alsatian | wisent | kudu | winkle | hanuman | jaguarundi | jird | bottlenose | cacomistle | cayman
 244	knowledge_n1	100023271	the psychological result of perception and learning and reasoning	observation | strategy | alternative | differentiation | choice | guideline | habit | evidence | module | opinion | idea | concept | theory | investigation | issue | option | pattern | dream | purpose | strand | characteristic | skill | value | rule | knowledge | pain | detail | decision | mind | type | method | experience | protocol | diarrhea | technique | tendency | distribution | restriction | scent | prediction | right | chemistry | science | surgery | breakthrough | diarrhoea | awareness | insight | smell | genetics | bias | syndrome | inflammation | limitation | fever | inspiration | inquiry | vector | genus | migraine | representation | interference | symptom | projection | composite | notice | feature | possibility | simulation | example | mathematics | flavor | flavour | nuisance | attention | principle | creativity | notion | intention | detection | conclusion | character | burden | proof | policy | logic | goal | assessment | exception | style | perception | heritage | specimen | framework | aspect | taste | arrangement | instinct | physiology | component | nausea | intuition | input | nymph | cough | quest | sensation | background | trouble | misconception | inability | attribute | generalization | biochemistry | reality | sample | talent | warmth | scar | medicine | illusion | reflection | thought | favorite | heartburn | identity | tradition | economics | electronics | suggestion | belief | relativity | suspicion | fact | dawn | constipation | deterrent | salinity | essence | imagination | god | parameter | memory | ethic | bait | stimulus | anatomy | plot | methodology | schedule | recollection | judgment | experimentation | deduction | interpretation | distinction | realization | monster | attitude | invention | biology | appreciation | consideration | headache | saltiness | sort | truth | perspective | obstacle | vampire | aptitude | thorn | astronomy | intersection | botany | kind | congestion | griffin | id | phantom | estimation | autism | stimulant | downside | breadth | intelligence | mainstream | analogy | gospel | numbness | statistic | magic | template | determinant | biotechnology | acceptance | memorization | doctrine | equivalent | badge | donkey | inference | impression | entomology | dogma | irritant | epidemiology | forestry | ontology | geology | ghost | aim | pimple | comprehension | angel | ethology | math | goddess | demography | geography | calendar | bedtime | unicorn | dentistry | biogeography | cognition | attribution | dusk | midnight | embryology | sunrise | lore | fairy | noon | hindrance | enhancer | cleverness | literacy | audition | intrigue | complement | ingenuity | sweetness | chimera
 243	substance_n1	100019613	the real physical matter of which a person or thing consists; "DNA is the substance of our genes"	lentil | sediment | protein | water | acid | slime | nicotine | glucose | nectar | air | toxin | chocolate | matter | compound | fluid | blood | poison | hormone | substance | bread | enzyme | fuel | cortisol | dioxide | carbohydrate | hydrocarbon | atom | mucus | soap | meat | glucagon | steel | salt | aspirin | methane | substrate | steroid | enamel | crystal | biomass | progesterone | coal | antifreeze | vapour | starch | petroleum | cytokine | shrimp | venom | liquid | residue | vegetable | cellulose | phosphate | potato | bile | steam | mixture | antigen | antibody | bloodstream | insulin | glycogen | octopus | gel | seawater | gasoline | oil | beef | ice | spice | glass | frost | alloy | resin | compost | fructose | lipid | pheromone | swordfish | bass | tomato | bean | powder | rainwater | isotope | estrogen | pewter | cabbage | testosterone | brass | lipase | yeast | chitin | histamine | saltwater | mussel | electrolyte | caffeine | gelatin | polysaccharide | dumpling | quartz | gall | wax | thyroxine | chile | cholesterol | lymph | musk | semen | corticosteroid | solute | vaccine | hydroxide | plasma | cracker | pie | nitrate | melatonin | lactose | allergen | keratin | cytoplasm | prolactin | sebum | seafood | neurotransmitter | vapor | silica | polymerase | eel | shellfish | plastic | alkali | chromatin | ash | bicarbonate | fillet | oxide | sulfide | amylase | saliva | bacon | acetylene | rust | ozone | shampoo | urea | myosin | nucleotide | polystyrene | chloride | plasmodium | pancake | oxytocin | petrol | bun | trout | steak | hemoglobin | biscuit | carcinogen | lysine | perspiration | noodle | loaf | cookie | nebula | pepsin | lye | platelet | catfish | monoxide | micronutrient | sausage | cake | suspension | ink | duckling | monosaccharide | antivenin | ammonium | firewood | adrenaline | peroxide | adenine | cleaner | coolant | polypeptide | solvent | bluefin | monomer | exhalation | coho | pork | haddock | pasta | lignin | collagen | ham | emulsion | coconut | sardine | intron | flake | pea | phospholipid | formaldehyde | toothpaste | dilution | plaster | sunfish | cytosol | benzene | erythropoietin | grease | icicle | adenosine | ravioli | glycine | donut | watercress | calcitonin | glutamine | trypsin | cytosine | snowflake | thyrotropin | kerosene | rhubarb | spaghetti | chromate | actin | bronze | uracil | thymine | ethane | goo | hailstone | scone | asparagine | myelin
 216	body_part_n1	105220461	any part of an organism such as an organ or extremity	exoskeleton | joint | head | stomach | tooth | spine | face | diaphragm | wing | lung | ear | toe | ectoderm | lobe | mouth | antler | organ | eyelid | tail | lid | bone | skeleton | abdomen | eye | valve | vacuole | skin | neck | pelvis | hoof | tissue | gill | foot | trachea | airway | claw | muscle | heart | liver | skull | arm | shell | nucleus | beak | gland | cilium | brain | gut | uterus | kidney | duct | vagina | cervix | limb | fang | nostril | mouthpart | carapace | throat | shoulder | whisker | jaw | testis | chin | chest | ventricle | esophagus | breast | tubule | paw | wrist | cartilage | thyroid | nerve | intestine | vein | windpipe | penis | leg | glomerulus | larynx | flesh | artery | flipper | cortex | nose | pancreas | lip | back | hand | caecum | fin | colon | vesicle | urethra | sole | palm | leaflet | blister | spiracle | canal | follicle | ribosome | thorax | ligament | cecum | tongue | duodenum | thumb | finger | nipple | snout | receptor | organelle | nephron | villus | seta | mandible | molar | belly | flagellum | microtubule | pharynx | endoskeleton | vertebra | chelicera | proboscis | appendage | incisor | notochord | anus | bronchiole | ureter | tusk | gonad | rectum | marrow | bronchus | tummy | forehead | gizzard | atrium | radicle | cerebellum | cheek | aorta | backbone | sternum | alveolus | centromere | spleen | eardrum | ileum | knee | knuckle | tendon | cistern | cornea | epithelium | cerebrum | appendix | hypothalamus | scrotum | thigh | sphincter | forelimb | coelom | mitochondrion | lysosome | extremity | acrosome | ankle | tunic | retina | feeler | vulva | hip | centriole | womb | septum | endometrium | bowel | triceps | biceps | thymus | talon | brainstem | mesoderm | stylet | cochlea | toenail | waist | trophoblast | fist | elbow | cranium | flank | posterior | jejunum | epiglottis | pituitary | periosteum | quad | brow | spicule | endoderm | neocortex | clapper | parathyroid | costa | labium | wishbone | butt | pilus | fingernail | cytoskeleton
 193	phenomenon_n1	100034213	any state or process known through the senses rather than by intuition or reasoning	pressure | growth | development | light | excretion | degeneration | erosion | effect | energy | intake | product | result | storm | current | sunlight | photosynthesis | response | condensation | ray | power | gas | resistance | consumption | heat | wind | accumulation | nutrition | combustion | liquefaction | force | reproduction | breath | respiration | phase | oxidation | snowstorm | metamorphosis | maturation | stratus | precipitation | radiation | digestion | electricity | snow | cloud | sound | reaction | rain | weather | bond | metabolism | conception | absorption | phenomenon | fire | ingestion | traction | thunderstorm | rainfall | friction | germination | tornado | thaw | activation | secretion | evaporation | cavity | consequence | cytokinesis | hurricane | diffusion | charge | evolution | extraction | diffraction | beam | hypersecretion | inhalation | smoke | conductivity | dimorphism | updraft | offshoot | earthquake | transpiration | synthesis | decay | snowfall | blizzard | aerosol | inertia | exchange | quake | gravity | backup | voltage | mist | meiosis | flame | phagocytosis | ossification | resonance | fermentation | mitosis | feedback | inflorescence | repulsion | heredity | refraction | urination | gravitation | attraction | deposition | exfoliation | breeze | decomposition | cyclone | metamorphism | filtration | byproduct | sedimentation | convection | torque | ovulation | speciation | uptake | fission | nimbus | reflex | meteor | magnetism | aeration | regeneration | conduction | mishap | fortune | starlight | ejaculation | phylogeny | hiccup | hail | abrasion | roundworm | cirrus | dew | fog | candidiasis | windstorm | conductance | epistasis | drizzle | fluke | spermatogenesis | glycolysis | microwave | sunshine | corona | childbirth | domestication | pinocytosis | transparency | cumulus | oogenesis | hyperventilation | propulsion | brainwave | chemosynthesis | altocumulus | gametogenesis | osmosis | moonlight | ringworm | outgrowth | gust | gale | twister | microevolution | downpour | biosynthesis | sleet | refrigeration | tropism | thrush | menstruation | geotropism | flurry | macroevolution | peristalsis | rainstorm | fossilization | sip | crystallization | phototropism
 190	state_n4	100024720	the way something is with respect to its main attributes; "the current state of knowledge"; "his state of health"; "in a weak financial state"	health | reputation | niche | sting | infection | humidity | life | anemia | depression | expertise | problem | contact | injury | condition | potential | situation | concern | chance | comfort | defect | wound | disorder | shade | darkness | wealth | fatigue | drought | constraint | lack | presence | behaviour | blockage | allergy | interest | deficiency | epilepsy | marriage | inactivity | survival | malaria | paralysis | fibrosis | urbanization | exclusion | state | pollution | anxiety | climate | extent | absence | commotion | hibernation | disaster | weakness | corrosion | osteoporosis | hygiene | extinction | dehydration | isolation | irritation | coma | tension | impurity | tetanus | intoxication | continuity | dormancy | burn | prominence | existence | status | gigantism | abnormality | hunger | danger | opportunity | nightmare | pregnancy | moisture | silence | cyst | mystery | contamination | dryness | unemployment | consensus | priest | deterioration | impairment | smog | context | mastery | ecology | affair | deformity | employment | security | circumstance | peace | plight | doubt | unbalance | ailment | flaw | starvation | poverty | blindness | confusion | schizophrenia | imbalance | debt | curiosity | erection | predisposition | hypertension | confidence | self | infertility | dependency | crisis | immunity | luck | safety | ulcer | freedom | addiction | integrity | companionship | baldness | inclusion | atherosclerosis | unity | domain | giardiasis | disability | exhaustion | shadow | chaos | homeostasis | dependence | sclerosis | disintegration | madness | vacuum | humpback | totality | friendship | emphasis | mess | poisoning | anorexia | necessity | fixation | albinism | latter | illumination | wellness | interconnectedness | quicksand | hallucination | being | urgency | loneliness | tangle | thirst | cleavage | solace | equilibrium | pinch | hesitation | realm | stature | drowsiness | vicar | nothingness | imperfection | kyphosis | bruise | wetness | trance | prestige | snakebite | despair | standstill | insolation | annoyance | immunodeficiency | summit | hemophilia
