#Members	Type	WN30Synset	Definition	Members
 161	plant_n2	100017222	(botany) a living organism lacking the power of locomotion	conifer | plant | tree | popcorn | gametophyte | phytoplankton | dill | mushroom | weed | embryo | milkweed | raspberry | willow | broccoli | candida | corn | herb | legume | mango | fungus | cucumber | parsley | basil | fern | epiphyte | seedling | pineapple | houseplant | marjoram | marijuana | fireweed | gooseberry | peanut | pansy | mangrove | anemone | iris | ginkgo | spinach | orchid | kudzu | cordgrass | jasmine | vine | plantain | beetroot | papaya | juniper | aspen | periwinkle | rose | cardamom | bush | ragweed | lilac | buttercup | saguaro | truffle | cantaloupe | peppermint | celery | cactus | asparagus | guava | banana | lily | snapdragon | clover | xerophyte | nettle | marigold | laurel | huckleberry | angiosperm | duckweed | sunflower | beech | sporophyte | soybean | hawthorn | beet | soy | courgette | dandelion | elm | wheat | cayenne | mandarin | salmonberry | pumpkin | privet | violet | sundew | mustard | pigweed | grapefruit | oleander | pepper | thistle | may | bramble | poppy | acacia | apricot | tulip | bloodroot | turnip | baobab | heather | cycad | vanilla | saxifrage | autotroph | cereal | monocot | herbage | climber | aloe | cattail | foxglove | belladonna | gymnosperm | toadstool | ginger | pine | hornwort | pinyon | cedar | wildflower | hollyhock | burdock | wort | holly | daffodil | lettuce | evergreen | geranium | crocus | spruce | daisy | puffball | carnation | reed | soya | kiwi | creeper | snowdrop | rosemary | bluebell | muskmelon | shamrock | coco | dicotyledon | cocklebur | heath | oat | rowan | cole | leek | helianthus | ling
 142	material_n1	114580897	the tangible substance that goes into the makeup of a physical object; "coal is a hard black material"; "wheat is the stuff they use to make bread"	pigment | chemical | tobacco | earth | wood | grain | fiber | sponge | fur | rubber | waste | material | stalk | particle | borax | debris | sand | clay | topsoil | stuff | dirt | insecticide | ore | chlorophyll | urine | mud | barb | fibre | dust | dye | page | bamboo | cardboard | filament | ethanol | pollutant | paper | mineral | card | barite | feather | maple | magnetite | pesticide | plumage | magma | obsidian | sandstone | alder | fir | conductor | silt | insulator | axon | manure | eucalyptus | pyrite | straw | granite | sewage | otter | blubber | fertilizer | fluorite | cigarette | oak | garbage | mica | dung | hyacinth | log | melanin | talc | leopard | gravel | triglyceride | henna | redwood | latex | chloroplast | lava | feldspar | cotton | adhesive | birch | confetti | hypha | rhizoid | siderite | leather | sawdust | glue | humus | shale | cigar | slate | nylon | plume | moraine | hematite | gypsum | myofibril | basalt | filling | calcite | marble | hickory | detritus | cork | plastid | auxin | pumice | morocco | emerald | muskrat | pecan | ivory | baleen | apatite | wastewater | grit | fluff | spindle | limestone | firework | yew | indigo | fleece | kaolinite | wallpaper | loofah | jute | galena | litmus | husk | trash | sequoia | rubble | gneiss | junk | raffia | reactant
 141	device_n1	103183080	an instrumentality invented for a particular purpose; "the device is small enough to wear on your wrist"; "a device intended to conserve water"	detector | sensor | telescope | engine | computer | comb | mechanism | bullet | blade | generator | brake | lamp | lens | cable | bridge | piston | wheel | mill | machine | device | turbine | heater | arrow | gun | appliance | button | hook | bulb | instrument | pillar | magnet | key | sword | horn | seal | antenna | motor | spear | circuit | bomb | battery | monitor | trumpet | holder | reflector | weapon | laser | reactor | microscope | compass | whip | robot | bell | pin | nail | fan | disc | resistor | torch | jack | rudder | gadget | condom | rifle | thermostat | projectile | anchor | flashlight | rib | plug | lightbulb | brace | flute | guitar | windmill | regulator | viewer | machinery | buckle | net | mirror | decoy | diode | lantern | saddle | binoculars | wiper | candlestick | electromagnet | screw | candle | staple | pistol | sieve | piano | spoke | microphone | propeller | calculator | dart | starter | assembly | commutator | dynamo | drum | ramp | sprinkler | laptop | zipper | shelf | paperclip | snowshoe | windowsill | loudspeaker | flytrap | extinguisher | backhoe | phonograph | videotape | aperture | eyepiece | trapeze | stair | stethoscope | cam | protractor | transit | vane | lense | buzzer | waterwheel | magnifier | trombone | bumper | fife | scimitar | elevator | stilt | periscope | paintbrush | clamp
 139	event_n1	100029378	something that happens at a given place and time	factor | impact | victory | accident | collision | explosion | performance | ceremony | event | sale | success | production | death | incident | management | break | fate | crop | outbreak | contest | eruption | responsibility | crash | replacement | damage | variation | requirement | cause | heartbeat | producer | dispersion | transformation | conversion | war | wave | elevation | agriculture | spike | outcome | fluctuation | pulse | episode | conservation | fusion | migration | seizure | compliance | induction | surprise | alteration | tourism | campaign | supervision | harvest | conflict | cooperation | scuffle | motion | burial | occurrence | involvement | tsunami | pollination | landslide | onset | fertilization | movie | avalanche | deviation | vibration | wildfire | tide | displacement | discharge | ripple | occasion | compression | film | eclipse | obligation | substitution | beginning | participation | celebration | compaction | combat | protest | battle | adjustment | leakage | bonfire | reward | compromise | creep | subsidence | misfortune | divorce | descent | runoff | transaction | instance | intrusion | revolution | emergency | penalty | surf | wedding | emergence | initiation | parade | miracle | shear | touch | mudslide | flush | rarefaction | cessation | milestone | happening | attenuation | courtesy | coronation | backflow | commerce | segregation | bore | bang | sublimation | flick | concert | coincidence | omega | sunset | lottery | blend | demolition | takeover | repetition | triumph
 135	activity_n1	100407535	any specific behavior; "they avoided all recreational activity"	disturbance | measurement | activity | behavior | approach | analysis | creation | experiment | test | glance | possession | treatment | application | replication | preparation | job | attack | photography | effort | workout | presentation | role | difficulty | technology | lesson | surveillance | classification | examination | calculation | task | market | operation | inspection | protection | comparison | procedure | enterprise | design | census | approval | service | assistance | occupation | therapy | contribution | football | penetration | game | construction | predation | workshop | education | care | strike | use | trial | duty | labor | chemotherapy | crime | glimpse | storage | squash | restraint | attempt | defense | career | exploitation | basketball | mimicry | demonstration | raid | irrigation | custom | conditioner | sighting | exertion | invasion | retention | routine | animation | irregularity | entertainment | dialysis | rite | orientation | computation | preservation | assignment | worship | prayer | sport | shot | usage | vocation | incubation | psychoanalysis | soccer | implantation | jig | expedition | tally | navigation | exhibition | badminton | baseball | marathon | handstand | offense | immunization | confinement | infiltration | diversion | chore | hobby | adventure | homework | recreation | hug | holding | percussion | gymnastics | tennis | robbery | multiplication | curb | mischief | rehearsal | chess | amniocentesis | sterilization | burglary | archery | juggle | volleyball
 125	location_n1	100027167	a point or extent in space	habitat | place | origin | fishery | landscape | farm | environment | corner | town | scene | country | capital | tract | boundary | garden | patch | site | den | territory | laboratory | location | route | trend | home | position | region | bottom | source | side | terrain | top | field | core | locus | park | studio | edge | path | equator | city | atmosphere | lawn | destination | zone | underside | county | crust | shop | cuticle | district | residence | dairy | locality | yard | lab | axis | centre | horizon | front | track | province | empire | grave | tip | epidermis | crest | orbit | stratosphere | backyard | flyway | hemisphere | center | address | coastline | orchard | neighborhood | interior | exosphere | subdivision | lee | seat | tomb | vicinity | ranch | sunspot | setting | fingertip | stratum | wilderness | suburb | middle | upside | biosphere | municipality | campsite | hideout | workplace | saddleback | troposphere | sanctuary | harbor | bakery | shoreline | nook | countryside | scenery | treetop | heaven | gorge | landmark | harbour | epicenter | checkpoint | farmland | playground | nib | mansion | port | heel | backwoods | hotspot | courtyard | oasis | lithosphere | corneum
 106	action_n1	100037396	something done (usually as opposed to something said); "there were stories of murders and other unnatural actions"	attachment | identification | progress | vaporization | discovery | movement | removal | action | reduction | disappearance | stride | diagnosis | stunt | immigration | interaction | drainage | degradation | dispersal | emigration | trip | destruction | injection | improvement | emission | suicide | journey | fragmentation | division | flight | step | violence | expansion | breakdown | depletion | manipulation | selection | enlargement | transition | deletion | transfusion | revision | split | stimulation | contraction | murder | deforestation | exploration | establishment | ventilation | departure | precaution | diversification | magnification | transmission | echolocation | pitch | inheritance | maintenance | arrival | roller | transportation | reform | modification | reversal | delivery | hike | blow | achievement | buildup | determination | addition | passage | introduction | nudge | incision | jog | dash | elimination | trick | pursuit | separation | specialization | rotation | liner | opposition | completion | ligation | optimization | inflation | remediation | colonization | riot | homicide | insertion | nod | purification | brachiation | segmentation | shaving | spree | tweak | somersault | voyage | jerk | reclamation | liquidation
 101	property_n3	104916342	a basic or essential attribute shared by all members of a class; "a study of the physical properties of atomic particles"	tolerance | shape | level | limit | age | area | range | color | mass | height | size | concentration | dimension | weight | majority | width | sex | density | degree | severity | circumference | way | plenty | obesity | property | brightness | exposure | acceleration | tint | voice | phenotype | coverage | length | depth | odor | temperature | aroma | thickness | permeability | number | strength | flexibility | mortality | shortage | magnitude | radius | amount | coloration | karyotype | ring | intensity | symmetry | lifestyle | constriction | diameter | viscosity | coral | curve | visibility | vigor | surplus | texture | acidity | mode | manner | abundance | hardness | infrastructure | momentum | flash | chill | succession | bulk | scope | posture | dominance | makeup | stance | excess | bottleneck | expanse | deficit | hue | weightlessness | grace | glare | sheen | buoyancy | loudness | fashion | asymmetry | luster | stiffness | durability | scarcity | shortness | elongation | gleam | roughness | rigidity | hotness
  91	bird_n1	101503061	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	parrot | waterfowl | heron | pelican | kestrel | bird | toucan | osprey | eagle | drake | chick | chicken | crake | kingfisher | penguin | cardinal | hummingbird | cockatoo | rhea | woodpecker | albatross | warbler | plover | hawk | puffin | seagull | pigeon | duck | turkey | owl | oriole | falcon | rooster | magpie | gallinule | parakeet | cassowary | macaw | seabird | pheasant | hen | wren | meadowlark | mallard | shorebird | vulture | coot | fowl | swan | cygnet | flamingo | lorikeet | stork | cockatiel | budgie | robin | goose | canary | bowerbird | budgerigar | cuckoo | raptor | finch | starling | hoatzin | gull | booby | roadrunner | goldfinch | bluebird | wagtail | brant | blackbird | cockerel | dodo | sparrow | songbird | canvasback | tanager | kittiwake | jackdaw | moa | dove | jay | chough | martin | chaffinch | junco | flycatcher | godwit | mynah
  86	plant_part_n1	113086908	any part of a plant or fungus	fruit | carpel | seed | taproot | foliage | spore | sucker | leaf | berry | trunk | carrot | flower | twig | grape | stick | pollen | root | mycelium | bud | rhizome | petal | blackberry | nut | pad | stem | stamen | acorn | sepal | sporangium | kernel | fig | orange | stolon | petiole | ovary | ovule | shoot | frond | cotyledon | pistil | needle | anther | floret | blossom | placenta | apple | melon | almond | xylem | tuber | stigma | tendril | blueberry | plum | peel | phloem | zygospore | peach | onion | avocado | meristem | pear | antheridium | strawberry | walnut | stroma | stump | archegonium | endosperm | pinecone | raisin | watermelon | catkin | pistachio | brazil | cherry | basidiocarp | cob | rind | citrus | currant | conker | chestnut | cashew | lemon | rapeseed
  83	food_n1	100021265	any substance that can be metabolized by an animal to give energy and build tissue	salad | diet | food | nourishment | jelly | honey | alcohol | meal | wine | nutrient | sauce | cream | broth | milk | yogurt | sweetener | dinner | juice | vinegar | yolk | breakfast | soup | sandwich | tea | grub | snack | pizza | cheese | sugar | cocoa | margarine | vitamin | butter | lunch | cud | beer | syrup | gum | beverage | mint | sustenance | soda | coffee | flour | stew | dessert | potion | curry | porridge | yoghurt | ration | hay | rice | cola | pastry | gin | marshmallow | candy | barley | stinger | oatmeal | custard | dough | goody | barbeque | smoothie | lasagna | hamburger | delicacy | lemonade | jam | pickle | fodder | supper | ghee | liquor | brandy | omelette | kebab | gravy | marzipan | ketchup | pudding
  82	social_group_n1	107950920	people sharing some social relation	department | company | manufacturer | family | organization | business | team | firm | government | branch | breed | nation | industry | community | civilization | school | household | society | enemy | tribe | culture | agency | club | clinic | institute | committee | utility | staff | court | mission | university | colony | profession | audience | party | league | pedigree | police | faculty | institution | army | conference | corporation | crew | bureau | grade | phylum | village | circus | council | college | lineage | hive | charity | minority | defence | republic | chorus | crowd | meeting | gang | troop | ally | mob | senate | academy | union | commission | consortium | railway | brigade | van | metro | convention | orchestra | ancestry | railroad | reunion | civilisation | squad | patrol | parliament
  80	quality_n1	104723816	an essential and distinguishing attribute of something or someone; "the quality of mercy is not strained"--Shakespeare	capability | benefit | sharpness | function | capacity | tentacle | advantage | morality | uncertainty | cost | difference | homology | resource | ability | variability | significance | appearance | asset | clarity | productivity | likelihood | similarity | biodiversity | alternation | authority | fitness | spot | diversity | resemblance | stability | quality | turbidity | accuracy | disadvantage | importance | expression | qualification | availability | effectiveness | drawback | solubility | motility | beauty | justice | faith | heterogeneity | deceit | locomotion | complexity | blotch | disposal | charm | religion | finish | specialty | ease | hallmark | usefulness | uniformity | suitability | discrepancy | kindness | vice | goodness | blot | convenience | commonality | excellence | yoga | potency | charisma | honesty | harmony | dissimilarity | desirability | tightness | trademark | valence | likeness | resourcefulness
  79	message_n2	106598915	what a communication that is about something is about	statement | subject | recipe | definition | information | flyer | equation | description | overview | assumption | index | proposal | story | permission | answer | menu | summary | credit | list | offer | advice | agreement | explanation | hypothesis | topic | version | solution | hint | indicator | regulation | announcement | clarification | guidance | recommendation | passport | bulletin | tale | checklist | specification | instruction | wit | reference | scenario | consent | joke | documentation | advancement | theme | prescription | ad | meteorology | advertisement | database | curriculum | formula | newsletter | news | goodbye | cartoon | connotation | timetable | excuse | sally | rubric | theorem | referral | affirmation | misinformation | acknowledgment | deception | criticism | farewell | pap | horoscope | ploy | advert | depiction | compliment | canon
  57	shape_n2	100027807	the spatial arrangement of something as distinct from its substance; "geometry is the mathematical science of shape"	mold | hole | gap | sac | hump | circle | groove | latitude | blob | barrel | disk | triangle | wedge | crevice | node | angle | volcano | wart | hollow | fracture | fringe | cleft | sculpture | crack | crescent | crater | stomate | spur | pellet | foam | margin | rim | protuberance | dot | scratch | whorl | pore | axil | bubble | helix | wrinkle | saucer | arc | cladogram | spiral | square | arch | dome | cube | fissure | stoma | statue | vent | rainbow | rectangle | globule | prism
  47	insect_n1	102159955	small air-breathing arthropod	hornet | butterfly | louse | wasp | bug | ant | insect | earwig | beetle | blowfly | termite | honeybee | bee | moth | queen | grasshopper | mosquito | mayfly | flea | pupa | aphid | silverfish | pollinator | midge | cockroach | weevil | katydid | cicada | ladybug | emperor | housefly | leafhopper | peacock | drone | ladybird | springtail | treehopper | cricket | dragonfly | locust | mantis | firefly | goldeneye | phasmid | chrysalis | capsid | horsefly
  47	definite_quantity_n1	113576101	a specific measure of amount	calorie | mole | lb | pound | kg | gram | ounce | cm | pair | ton | kelvin | mg | kilocalorie | kilometre | unit | gallon | quart | dollar | kilogram | dozen | half | digit | newton | volt | cc | liter | millimeter | meter | watt | km | metre | mm | acre | joule | centimetre | centimeter | ohm | milligram | c | quota | pascal | tonne | amp | quarter | litre | g | penny
  46	transport_n1	103100490	something that serves as a means of transportation	tank | vehicle | tanker | ship | craft | car | bike | pickup | boat | airplane | wagon | truck | cart | chariot | bicycle | sled | train | plane | ambulance | bus | missile | aircraft | rocket | sailboat | lorry | shuttle | helicopter | glider | bulldozer | motorboat | gondola | automobile | lifeboat | trolley | carriage | tractor | buggy | jet | stroller | steamer | sleigh | canoe | chopper | auto | scooter | taxi
  44	element_n2	114622893	any of the more than 100 known substances (of which 92 occur naturally) that cannot be separated into simpler substances and that singly or in combination constitute all matter	sodium | copper | iodine | silicon | calcium | nitrogen | iron | oxygen | metal | aluminum | hydrogen | element | potassium | carbon | charcoal | graphite | soot | zinc | uranium | lead | sulphur | sulfur | mercury | boron | chromium | fluorine | tin | gold | neon | beryllium | chlorine | nickel | cadmium | helium | nonmetal | phosphorus | arsenic | magnesium | bromine | titanium | lithium | tungsten | aluminium | argon
  43	written_language_n1	106349220	communication by means of written symbols (either printed or handwritten)	bill | journal | software | law | essay | correspondence | note | license | legend | text | letter | statute | headline | document | certificate | contract | ticket | invitation | paragraph | blog | title | scroll | will | drama | novel | resolution | tone | code | notation | patent | poem | programme | questionnaire | header | literature | transcription | fingerprint | diary | postcard | concession | heading | treaty | pardon
  43	period_n1	115113229	an amount of time; "a time period of 30 years"; "hastened the period of time of his recovery"; "Picasso's blue period"	month | week | year | stage | time | adulthood | maturity | puberty | night | period | autumn | spring | lifespan | season | infancy | winter | nap | playtime | festival | century | summer | duration | past | birthday | adolescence | decade | era | childhood | administration | lactation | evening | anniversary | weekend | vacation | honeymoon | afternoon | lifetime | morning | daylight | holiday | leisure | epoch | telophase
  40	feeling_n1	100026192	the experiencing of affective and emotional states; "she had a feeling of euphoria"; "he had terrible feelings of guilt"; "I disliked him and the feeling was mutual"	passion | feeling | shock | emotion | relief | aversion | pride | appetite | frustration | affection | preference | horror | amusement | fear | desire | shame | anger | fright | ambition | expectancy | remorse | happiness | affect | joy | enthusiasm | mood | resentment | glee | pleasure | sorrow | distress | pity | tantrum | excitement | delight | amazement | panic | dismay | anticipation | rage
  35	illness_n1	114061805	impairment of normal physiological function affecting part or all of an organism	cancer | illness | disease | measles | pneumonia | anthrax | arthritis | sickness | emphysema | tumor | asthma | meningitis | tuberculosis | rabies | diabetes | cataract | polyp | flu | sunburn | influenza | cholera | hepatitis | acne | lichen | osteoarthritis | herpes | cirrhosis | gastroenteritis | syphilis | lupus | pox | polio | papilloma | plague | gonorrhea
  34	fish_n1	102512053	any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills; "the shark is a large fish"; "in the living room there was a tank of colorful fish"	shark | fish | conger | coelacanth | hammerhead | stingray | stickleback | salmon | tuna | goldfish | molly | bluefish | lungfish | frogfish | mullet | anglerfish | angler | goby | triggerfish | cod | guppy | remora | mosquitofish | flounder | perch | gar | beluga | stonefish | plaice | snook | smallmouth | hind | largemouth | coney
  33	formation_n5	109287968	(geology) the geological features of the earth	shore | burrow | valley | warren | cliff | aquifer | dune | ridge | mountain | beach | reef | plateau | gully | coast | slope | bank | bluff | hillside | hill | ledge | delta | highland | pit | landfill | canyon | glacier | mountainside | trough | riverbank | seashore | sinkhole | ravine | streambed
  29	clothing_n1	103051540	a covering designed to be worn on a person's body	coat | garment | jacket | suit | hat | belt | cape | shirt | diaper | glove | gown | costume | uniform | sock | scarf | cap | sweatshirt | hood | underwear | apron | outfit | topi | robe | footwear | wig | sweater | shawl | jumper | jersey
  26	microorganism_n1	101326291	any organism of microscopic size	microorganism | bacterium | virus | alga | tetrahymena | microbe | diatom | amoeba | salmonella | protozoan | kelp | paramecium | germ | pathogen | protist | dinoflagellate | seaweed | spirogyra | ciliate | leptospira | adenovirus | stonewort | staphylococcus | euglenid | sporozoan | algae
  24	equipment_n1	103294048	an instrumentality needed for an undertaking or to perform a service	phone | ball | rig | camera | equipment | processor | stereo | spacecraft | kit | apparatus | satellite | gear | recorder | spaceship | receiver | setup | burner | telephone | incubator | modem | mound | pendulum | bridle | parachute
  23	building_n1	102913152	a structure that has a roof and walls and stands more or less permanently in one place; "there was a three-story building on the corner"; "it was an imposing edifice"	building | house | hospital | architecture | restaurant | castle | greenhouse | hotel | observatory | garage | barn | convent | church | monastery | farmhouse | bungalow | palace | cafe | temple | cottage | stable | manor | theatre
  17	biom_n1	NIL	NIL	pasture | vegetation | grass | grassland | shrub | desert | rainforest | tundra | meadow | woodland | estuary | prairie | savannah | savanna | steppe | jungle | chaparral
  16	auditory_communication_n1	107109019	communication that relies on hearing	music | conversation | chapter | song | tune | score | melody | tutorial | accent | opera | hymn | croak | howl | spell | chatter | debate
  14	organism_n1	100004475	a living thing that has (or can develop) the ability to act or function independently	parasite | mutation | organism | plankton | mistletoe | eukaryote | liverwort | moss | bryophyte | animalcule | mutant | prokaryote | nekton | heterotroph
  13	water_n2	109225146	the part of the earth's surface covered with water (such as a river or lake or ocean); "they invaded our territorial waters"; "they were sitting by the water's edge"	lake | pond | ocean | stream | bay | river | gulf | sea | waterway | lagoon | puddle | waterfall | creek
  11	indefinite_quantity_n1	113576355	an estimated quantity	drink | lot | tear | peak | couple | slice | reservoir | droplet | teaspoon | raindrop | serving
  10	measuring_instrument_n1	103733925	instrument that shows the extent or amount or quantity or degree of something	ruler | tape | timer | radar | calorimeter | thermometer | barometer | gauge | sextant | gage
   8	tool_n1	104451818	an implement used in the practice of a vocation	razor | tool | axe | knife | hammer | hoe | sickle | ax
   7	sound_n4	107371293	the sudden occurrence of an audible event; "the sound awakened them"	noise | footstep | grunt | bleat | bark | racket | peep
   6	sense_n3	105651971	the faculty through which the external world is apprehended; "in the dark he had to depend on touch and on his senses of smell and hearing"	sense | vision | eyesight | sight | sensitivity | reactivity
